lncRNA,protein,label
n376522,Q13148,1
n341314,Q13148,1
n4864,P31483,1
n340108,Q9Y6M1,1
n384140,P35637,1
n363933,Q49AS9,1
n340748,Q9Y6M1,1
n346238,Q9NZI8,1
n384484,O00425,1
n382317,Q49AS9,1
n342612,Q15717,1
n386448,O00425,1
n381557,P35637,1
n338223,Q86X94,1
n340689,Q9Y6M1,1
n340697,O00425,1
n369186,Q15717,1
n410799,O00425,1
n381521,Q15717,1
n343048,Q9NZI8,1
n381786,Q15717,1
n340474,O00425,1
n338446,Q9NZI8,1
n385519,Q9Y6M1,1
n332918,Q15717,1
n384738,Q9UKV8,1
n342358,Q13148,1
n381559,P35637,1
n338650,Q13148,1
n338774,Q9NZI8,1
n385991,Q49AS9,1
n341330,O00425,1
n341406,Q13148,1
n376336,Q86X94,1
n341208,Q15717,1
n338991,Q07955,1
n338856,Q9NZI8,1
n407887,Q07955,1
n376473,Q01844,1
n338336,Q15717,1
n324177,Q86X94,1
n326198,P35637,1
n382184,O00425,1
n337886,P35637,1
n341739,O00425,1
n379340,Q9Y6M1,1
n375857,P35637,1
n344610,Q15717,1
n338491,Q13148,1
n409674,Q15717,1
n338991,Q15717,1
n409672,P35637,1
n385185,Q15717,1
n341479,Q15717,1
n341846,Q9Y6M1,1
n408342,Q07955,1
n342055,Q07955,1
n345955,Q9UL18,1
n345955,Q9UKV8,1
n345955,Q9H9G7,1
n345955,Q9HCK5,1
n309,Q9Y2X3,1
n382184,P31483,1
n344808,Q9NZI8,1
n387106,Q15717,1
n342241,O00425,1
n337988,Q9NZI8,1
n338521,Q15717,1
n345386,B7ZL34,1
n343050,Q9UL18,1
n343050,Q9UKV8,1
n343050,Q9H9G7,1
n343050,Q9HCK5,1
n386538,Q9NZI8,1
n343017,Q15717,1
n343085,Q06787,1
n344749,Q9NZI8,1
n407766,Q15717,1
n345168,Q13148,1
n1868,Q13148,1
n338836,Q15717,1
n346200,O00425,1
n337711,O00425,1
n339189,Q9NZI8,1
n378068,Q07955,1
n381912,Q15717,1
n386492,Q9UKV8,1
n385806,O00425,1
n338833,Q15717,1
n340301,Q13148,1
n385813,O00425,1
n341308,Q9NZI8,1
n346448,Q49AS9,1
n377656,Q9Y6M1,1
n339833,P31483,1
n368786,O00425,1
n344741,Q9UL18,1
n344741,Q9UKV8,1
n344741,Q9H9G7,1
n344741,Q9HCK5,1
n363561,Q07955,1
n384625,Q8NDV7,1
n384625,Q9UPQ9,1
n384625,Q9HCJ0,1
n379340,Q15717,1
n407661,Q15717,1
n345110,P35637,1
n344677,Q8NDV7,1
n344677,Q9UPQ9,1
n344677,Q9HCJ0,1
n344775,Q13148,1
n376779,Q15717,1
n340537,O00425,1
n385951,Q49AS9,1
n341570,P35637,1
n381414,P35637,1
n338404,Q15717,1
n340127,Q49AS9,1
n387706,Q49AS9,1
n342328,Q9UL18,1
n342328,Q9UKV8,1
n342328,Q9H9G7,1
n342328,Q9HCK5,1
n338444,Q13148,1
n385139,O00425,1
n406336,Q07955,1
n345909,Q07955,1
n339386,P26599,1
n344931,Q9Y6M1,1
n385145,Q01844,1
n424067,P31483,1
n385203,Q9Y6M1,1
n377834,Q9NZI8,1
n5312,P10155,1
n383180,Q07955,1
n341452,P35637,1
n344460,P35637,1
n342010,Q49AS9,1
n376433,O00425,1
n375299,Q15717,1
n378201,Q15717,1
n340108,Q15717,1
n377988,Q07955,1
n384175,Q15717,1
n384558,O00425,1
n405556,Q9NZI8,1
n338102,Q9Y6M1,1
n342045,Q15717,1
n410191,Q9UKV8,1
n384228,P31483,1
n384210,Q15717,1
n324680,Q15717,1
n3894,Q49AS9,1
n343050,Q13148,1
n405460,Q49AS9,1
n346528,Q07955,1
n344528,O00425,1
n381272,Q9NZI8,1
n385408,Q13148,1
n346520,Q07955,1
n385685,Q9HCE1,1
n340852,Q9Y6M1,1
n340852,P31483,1
n339552,Q9NZI8,1
n386448,Q13148,1
n340754,Q9NZI8,1
n341291,Q15717,1
n385106,P35637,1
n334052,P35637,1
n378094,P35637,1
n341290,Q9NZI8,1
n364158,Q96PU8,1
n339930,Q9NZI8,1
n365451,P35637,1
n344454,P26599,1
n378866,Q01844,1
n376314,Q86X94,1
n339255,Q15717,1
n409406,O00425,1
n385727,B7ZL34,1
n406138,P31483,1
n339552,Q9Y6M1,1
n409709,Q15717,1
n342116,P31483,1
n339003,Q15717,1
n409282,Q15717,1
n381696,Q13148,1
n341849,P35637,1
n406126,Q9Y6M1,1
n380977,Q13148,1
n410722,P35637,1
n344644,Q96PU8,1
n378503,Q15717,1
n378366,Q9Y6M1,1
n386735,Q9UKV8,1
n344490,Q49AS9,1
n341518,P35637,1
n363566,Q9UKV8,1
n345012,Q15717,1
n368396,Q13148,1
n405508,Q07955,1
n343016,Q9UKV8,1
n346533,P35637,1
n384430,Q49AS9,1
n372953,Q49AS9,1
n337711,Q9HCE1,1
n5622,Q7L014,1
n379122,O00425,1
n383209,Q9NZI8,1
n338500,Q9UKV8,1
n384655,P26599,1
n376188,Q6PJX3,1
n344721,Q9NZI8,1
n342994,B7ZL34,1
n386193,Q15717,1
n382502,Q49AS9,1
n406134,B7ZL34,1
n387722,Q9UL18,1
n387722,Q9UKV8,1
n387722,Q9H9G7,1
n387722,Q9HCK5,1
n407071,Q01844,1
n383077,Q15717,1
n383236,Q9Y6M1,1
n341049,Q9NZI8,1
n340835,Q15717,1
n341065,Q9Y6M1,1
n345417,Q15717,1
n338446,Q9HCE1,1
n407466,Q07955,1
n338615,P35637,1
n338196,Q9UKV8,1
n337886,Q15717,1
n382918,Q86X94,1
n385793,Q13148,1
n341903,P35637,1
n341592,P26599,1
n410149,Q96PU8,1
n339293,P26599,1
n341345,Q9UL18,1
n341345,Q9UKV8,1
n341345,Q9H9G7,1
n341345,Q9HCK5,1
n387719,Q9UKV8,1
n342292,Q9Y6M1,1
n342975,Q15717,1
n340240,Q15717,1
n342230,P35637,1
n409305,Q49AS9,1
n340203,Q15717,1
n338640,Q49AS9,1
n341094,Q9NZI8,1
n385685,Q9Y6M1,1
n339668,O00425,1
n406866,Q9Y6M1,1
n343087,Q9NZI8,1
n410457,Q15717,1
n380693,P31483,1
n346385,Q07955,1
n337823,P35637,1
n343066,P26599,1
n407312,Q13148,1
n381409,Q86X94,1
n5315,P09234,1
n342724,Q15717,1
n341290,Q49AS9,1
n405620,Q9Y6M1,1
n332900,O00425,1
n341065,Q13148,1
n387178,Q07955,1
n342988,Q9Y6M1,1
n341044,Q9UKV8,1
n342030,Q15717,1
n384927,Q9HCE1,1
n384643,O00425,1
n338027,Q15717,1
n365664,P35637,1
n344563,Q13148,1
n376755,Q13148,1
n383802,P26599,1
n339388,Q15717,1
n340475,Q13148,1
n406409,Q15717,1
n326195,Q15717,1
n339264,Q96PU8,1
n344530,Q9Y6M1,1
n386362,P31483,1
n376411,Q15717,1
n340887,P26599,1
n407410,Q9UKV8,1
n337671,Q15717,1
n339857,Q13148,1
n385119,O00425,1
n408051,Q15717,1
n345281,Q15717,1
n367887,Q15717,1
n342233,P26599,1
n338882,Q9Y6M1,1
n337756,Q9HCE1,1
n363811,Q9Y6M1,1
n341044,Q9NZI8,1
n340734,Q15717,1
n379841,Q9UKV8,1
n408116,Q9Y6M1,1
n385370,Q9Y6M1,1
n339642,B7ZL34,1
n386571,P35637,1
n408353,Q15717,1
n343087,O00425,1
n341011,P35637,1
n383509,Q9Y6M1,1
n405862,Q07955,1
n345338,Q15717,1
n343060,Q15233,1
n424067,Q15233,1
n382691,Q07955,1
n340049,Q9NZI8,1
n381011,Q9NZI8,1
n338197,Q9NZI8,1
n342150,Q49AS9,1
n384625,Q9Y6M1,1
n385106,Q9UKV8,1
n345873,Q49AS9,1
n374109,Q13148,1
n340240,Q49AS9,1
n5315,P08621,1
n338006,O00425,1
n344766,P26599,1
n338265,B7ZL34,1
n344800,P31483,1
n405705,Q9Y6M1,1
n337823,Q96PU8,1
n342795,Q49AS9,1
n385370,Q15717,1
n372935,Q9NZI8,1
n406883,Q13148,1
n375715,Q49AS9,1
n339651,Q15717,1
n384422,Q9UL18,1
n384422,Q9H9G7,1
n384422,Q9HCK5,1
n406598,Q07955,1
n342776,Q49AS9,1
n369376,Q8NDV7,1
n369376,Q9UPQ9,1
n369376,Q9HCJ0,1
n345385,Q15717,1
n383032,Q9NZI8,1
n342606,Q15717,1
n339878,Q01844,1
n345694,Q9UKV8,1
n379841,Q9Y6M1,1
n328167,Q13148,1
n326668,Q13148,1
n407114,P31483,1
n337815,Q15717,1
n339087,Q9Y6M1,1
n382961,O00425,1
n345852,Q9NZI8,1
n341065,P35637,1
n379107,O00425,1
n344601,Q15717,1
n378726,Q15717,1
n342135,P35637,1
n363658,Q8NDV7,1
n363658,Q9UPQ9,1
n363658,Q9HCJ0,1
n346189,P31483,1
n374604,Q9NZI8,1
n377137,Q13148,1
n338758,O00425,1
n341373,Q15717,1
n341846,Q9NZI8,1
n340108,P35637,1
n384742,Q13148,1
n340156,Q8NDV7,1
n340156,Q9UPQ9,1
n340156,Q9HCJ0,1
n338577,Q9HCE1,1
n381057,Q9NZI8,1
n370180,Q07955,1
n380693,P35637,1
n342555,Q9UL18,1
n342555,Q9H9G7,1
n342555,Q9HCK5,1
n387722,Q96PU8,1
n345185,Q49AS9,1
n370008,P31483,1
n375473,P35637,1
n5543,Q15717,1
n339434,P31483,1
n344658,Q49AS9,1
n339544,Q9UL18,1
n339544,Q9UKV8,1
n339544,Q9H9G7,1
n339544,Q9HCK5,1
n386343,P35637,1
n345386,Q9UL18,1
n345386,Q9UKV8,1
n345386,Q9H9G7,1
n345386,Q9HCK5,1
n370153,Q13148,1
n409291,Q86X94,1
n346533,Q01844,1
n365366,O00425,1
n342030,Q9Y6M1,1
n5726,Q15717,1
n376544,Q15717,1
n384227,P31483,1
n3894,P31483,1
n342817,Q9HCE1,1
n406833,P26599,1
n384480,Q9NZI8,1
n324039,Q15717,1
n384480,Q9HCE1,1
n384643,Q86X94,1
n408241,O00425,1
n338976,Q15717,1
n338763,Q13148,1
n381231,Q07955,1
n340509,Q9NZI8,1
n341813,Q9Y6M1,1
n341817,Q49AS9,1
n340048,O00425,1
n407464,Q9NZI8,1
n409673,Q15717,1
n345754,Q07955,1
n5296,P35268,1
n344462,P31483,1
n384770,Q9NZI8,1
n342202,Q9Y6M1,1
n385685,P31483,1
n344541,Q15717,1
n385223,P35637,1
n376203,Q15717,1
n341238,Q9Y6M1,1
n343070,P26599,1
n340108,Q49AS9,1
n344800,Q9Y6M1,1
n339786,Q15717,1
n334052,Q9NZI8,1
n411680,Q96PU8,1
n343067,O00425,1
n370540,Q13148,1
n339828,Q9UL18,1
n339828,Q9UKV8,1
n339828,Q9H9G7,1
n339828,Q9HCK5,1
n410063,Q15717,1
n407161,Q07955,1
n381623,Q9HCE1,1
n410105,Q15717,1
n342106,Q9NZI8,1
n367646,Q49AS9,1
n382037,Q01844,1
n382962,Q07955,1
n387236,O00425,1
n341044,Q07955,1
n405217,Q15717,1
n405569,B7ZL34,1
n383521,O00425,1
n121,Q13148,1
n387142,Q07955,1
n338577,O00425,1
n344610,P35637,1
n374607,Q9HCE1,1
n380489,P31483,1
n339052,Q9NZI8,1
n341742,Q9Y6M1,1
n332636,Q8NDV7,1
n332636,Q9UPQ9,1
n332636,Q9HCJ0,1
n341264,O00425,1
n383077,P26599,1
n340115,O00425,1
n383723,Q07955,1
n3894,Q13148,1
n342817,Q86X94,1
n381414,Q86X94,1
n382286,Q9UL18,1
n382286,Q9UKV8,1
n382286,Q9H9G7,1
n382286,Q9HCK5,1
n338006,Q49AS9,1
n342817,Q9NZI8,1
n341264,Q49AS9,1
n341065,O00425,1
n324650,Q15717,1
n344772,Q49AS9,1
n424067,Q01844,1
n383550,P26599,1
n342555,Q9HCE1,1
n369512,Q15717,1
n377665,Q15717,1
n407851,Q9Y6M1,1
n341453,Q01844,1
n381026,Q07955,1
n346189,Q49AS9,1
n363765,O00425,1
n411550,Q49AS9,1
n340203,Q86X94,1
n381280,Q15717,1
n407050,Q9Y6M1,1
n340594,P35637,1
n409438,Q9NZI8,1
n324803,Q15717,1
n387016,P26599,1
n405658,Q07955,1
n383179,Q15717,1
n409672,Q8NDV7,1
n409672,Q9UPQ9,1
n409672,Q9HCJ0,1
n382502,Q9Y6M1,1
n381022,Q15717,1
n344538,Q15717,1
n385185,O00425,1
n336293,P35637,1
n382553,Q15717,1
n333428,Q15717,1
n342883,Q15717,1
n346143,Q9Y6M1,1
n410523,Q9Y6M1,1
n333428,Q9NZI8,1
n408131,O00425,1
n342056,B7ZL34,1
n381773,O00425,1
n342118,P35637,1
n339370,Q15717,1
n3891,P35637,1
n324177,P31483,1
n409438,O00425,1
n325924,Q9NZI8,1
n344749,Q49AS9,1
n340048,Q9Y6M1,1
n333550,Q49AS9,1
n381351,Q8NDV7,1
n381351,Q9UPQ9,1
n381351,Q9HCJ0,1
n408292,Q15717,1
n342724,Q49AS9,1
n337823,B7ZL34,1
n339646,Q9Y6M1,1
n384498,Q07955,1
n342631,Q49AS9,1
n406474,Q13148,1
n345298,Q13148,1
n386501,P26599,1
n370290,Q8NDV7,1
n370290,Q9UPQ9,1
n370290,Q9HCJ0,1
n383747,Q9NZI8,1
n345751,O00425,1
n410630,Q9UL18,1
n410630,Q9UKV8,1
n410630,Q9H9G7,1
n410630,Q9HCK5,1
n345957,Q07955,1
n410722,Q9NZI8,1
n341230,Q07955,1
n342158,Q13148,1
n338217,Q9NZI8,1
n407963,Q49AS9,1
n339096,Q9Y6M1,1
n341873,B7ZL34,1
n343067,Q15910,1
n342046,Q07955,1
n346075,Q07955,1
n338750,Q49AS9,1
n344986,Q9Y6M1,1
n410066,Q9UKV8,1
n342314,Q9NZI8,1
n405477,Q07955,1
n345045,Q9Y6M1,1
n342157,Q15717,1
n340156,Q9Y6M1,1
n386735,Q49AS9,1
n375744,Q13148,1
n340793,O00425,1
n339038,Q9Y6M1,1
n375267,Q15717,1
n387266,P35637,1
n386194,Q07955,1
n344778,Q9HCE1,1
n343060,P23246,1
n424067,P23246,1
n370290,B7ZL34,1
n338651,O00425,1
n342116,Q9Y6M1,1
n324624,Q15717,1
n339069,O43251,1
n338702,Q01844,1
n344971,Q49AS9,1
n376985,Q07955,1
n364548,O00425,1
n385315,P35637,1
n341783,Q9Y6M1,1
n377015,Q49AS9,1
n344574,Q01844,1
n409707,Q9Y6M1,1
n340156,O00425,1
n408014,P26599,1
n338089,Q13148,1
n407311,Q49AS9,1
n381280,O00425,1
n380693,Q49AS9,1
n405523,O00425,1
n386957,Q07955,1
n324359,Q15717,1
n381041,Q9Y6M1,1
n371587,P26599,1
n5612,P10155,1
n337823,P31483,1
n337928,Q9NZI8,1
n337757,P31483,1
n386682,Q86X94,1
n345229,Q07955,1
n339038,O00425,1
n407500,Q15717,1
n324000,Q15717,1
n338591,Q9Y6M1,1
n341486,P35637,1
n338092,P26599,1
n342613,P35637,1
n387063,Q9HCE1,1
n366913,Q15717,1
n382276,Q9Y6M1,1
n405566,Q9NZI8,1
n385044,Q07955,1
n338727,Q15717,1
n384770,Q9Y6M1,1
n336296,Q15717,1
n343070,Q49AS9,1
n339856,P26599,1
n406409,P31483,1
n411556,O00425,1
n341937,O00425,1
n342320,Q13148,1
n638,Q13148,1
n387060,Q49AS9,1
n344971,Q15717,1
n326232,Q15717,1
n406883,Q9Y6M1,1
n376433,Q01844,1
n341479,Q9UL18,1
n341479,Q9UKV8,1
n341479,Q9H9G7,1
n341479,Q9HCK5,1
n342336,Q9NZI8,1
n407050,Q15717,1
n340290,Q9NZI8,1
n345038,Q15717,1
n346349,P31483,1
n346537,Q15717,1
n405621,Q15717,1
n384558,Q9Y6M1,1
n344711,Q49AS9,1
n376433,Q9Y6M1,1
n339517,P26599,1
n342106,Q9Y6M1,1
n346128,Q9UKV8,1
n384770,P35637,1
n344975,O00425,1
n339715,O00425,1
n339410,O00425,1
n379304,P35637,1
n374499,P26599,1
n381351,P35637,1
n379581,Q49AS9,1
n337902,Q9Y6M1,1
n337823,Q15717,1
n371915,Q15717,1
n345886,Q15717,1
n409179,Q07955,1
n337746,B7ZL34,1
n328167,Q07955,1
n340212,Q15717,1
n339701,Q15717,1
n381805,Q96PU8,1
n340980,O00425,1
n384228,Q15717,1
n383019,O00425,1
n340049,P31483,1
n341094,P35637,1
n341617,Q49AS9,1
n385685,Q9NZI8,1
n342770,Q9NZI8,1
n382511,Q9Y6M1,1
n385729,Q9UL18,1
n385729,Q9UKV8,1
n385729,Q9H9G7,1
n385729,Q9HCK5,1
n344772,Q07955,1
n343085,P11940,1
n340913,P35637,1
n343060,P35637,1
n344462,Q49AS9,1
n346361,Q9NZI8,1
n341590,Q15717,1
n410105,P26599,1
n345847,Q01844,1
n342336,Q13148,1
n387439,Q07955,1
n345417,P31483,1
n384754,Q9NZI8,1
n341169,Q49AS9,1
n338024,Q9NZI8,1
n406604,Q15717,1
n381623,P31483,1
n344995,B7ZL34,1
n381942,Q9NZI8,1
n336296,P35637,1
n383236,Q9HCE1,1
n345222,Q9HCE1,1
n323955,Q15717,1
n346528,Q49AS9,1
n337768,Q01844,1
n374890,Q13148,1
n344490,Q15717,1
n406117,Q9Y6M1,1
n5315,P26599,1
n407574,Q96PU8,1
n410152,Q07955,1
n377799,Q9Y6M1,1
n326561,Q15717,1
n405607,Q13148,1
n333428,Q9UL18,1
n333428,Q9UKV8,1
n333428,Q9H9G7,1
n333428,Q9HCK5,1
n409672,Q49AS9,1
n341369,O00425,1
n409305,Q15717,1
n341112,P31483,1
n341049,P31483,1
n340734,P26599,1
n340258,Q13148,1
n385729,P35637,1
n336296,Q86X94,1
n338788,Q15717,1
n370709,P35637,1
n325593,Q07955,1
n340728,Q15717,1
n342118,Q9HCE1,1
n344574,P31483,1
n368267,Q9UKV8,1
n339347,O00425,1
n343070,Q15717,1
n405456,Q9NZI8,1
n377740,Q9UKV8,1
n346288,P31483,1
n339966,O00425,1
n380158,Q49AS9,1
n407887,Q15717,1
n337711,Q9NZI8,1
n344457,Q15717,1
n385727,Q96PU8,1
n341227,Q15717,1
n406201,Q9HCE1,1
n1315,Q9UKC9,1
n342862,Q13148,1
n341849,Q15717,1
n385139,Q9Y6M1,1
n338221,Q13148,1
n381623,Q9Y6M1,1
n385202,P26599,1
n345697,Q07955,1
n339886,O00425,1
n346082,P35637,1
n344880,Q15717,1
n407761,Q9NZI8,1
n340697,Q07955,1
n381409,Q01844,1
n340475,P35637,1
n341358,Q9NZI8,1
n384496,Q07955,1
n341443,Q9NZI8,1
n380177,P26599,1
n384325,Q13148,1
n344745,P35637,1
n377932,Q49AS9,1
n342313,P26599,1
n342875,Q01844,1
n340858,Q96PU8,1
n384754,O00425,1
n381353,Q49AS9,1
n366357,Q49AS9,1
n383862,Q9HCE1,1
n341836,Q9HCE1,1
n345455,Q9NZI8,1
n341680,Q15717,1
n410523,Q86X94,1
n377799,Q86X94,1
n381431,Q49AS9,1
n341836,Q15717,1
n411694,P35637,1
n380158,B7ZL34,1
n328253,P07910,1
n338139,Q9Y6M1,1
n407073,Q86X94,1
n344861,P26599,1
n342138,Q49AS9,1
n340903,Q9NZI8,1
n342631,Q9UKV8,1
n370540,Q15717,1
n344963,Q13148,1
n342827,Q15717,1
n385516,Q9Y6M1,1
n343030,P37108,1
n382699,Q49AS9,1
n341725,Q9Y6M1,1
n341234,Q9UL18,1
n341234,Q9UKV8,1
n341234,Q9H9G7,1
n341234,Q9HCK5,1
n339702,P35637,1
n343050,Q15022,1
n378520,Q13148,1
n364511,P31483,1
n368395,Q13148,1
n343060,Q01844,1
n335713,Q9NZI8,1
n386438,P26599,1
n378136,Q07955,1
n405884,Q9UKV8,1
n382064,Q96PU8,1
n342283,Q9Y6M1,1
n345386,Q49AS9,1
n407441,Q9HCE1,1
n345045,Q8NDV7,1
n345045,Q9UPQ9,1
n345045,Q9HCJ0,1
n338367,Q9HCE1,1
n408051,P35637,1
n368637,Q49AS9,1
n344478,Q13148,1
n387397,Q9Y6M1,1
n339119,O00425,1
n382061,Q15717,1
n340753,O00425,1
n340529,P35637,1
n364548,Q96PU8,1
n339511,P26599,1
n346428,O00425,1
n344604,Q01844,1
n343053,Q13595,1
n384533,P31483,1
n344691,Q86X94,1
n377310,O00425,1
n381351,Q9Y6M1,1
n410194,Q07955,1
n405607,Q9UL18,1
n405607,Q9UKV8,1
n405607,Q9H9G7,1
n405607,Q9HCK5,1
n338028,Q86X94,1
n328168,P35637,1
n344848,Q07955,1
n410457,P31483,1
n407568,Q15717,1
n344604,P35637,1
n407108,O00425,1
n343087,Q86X94,1
n411622,P26599,1
n407588,Q49AS9,1
n341836,Q9UL18,1
n341836,Q9UKV8,1
n341836,Q9H9G7,1
n341836,Q9HCK5,1
n324796,P35637,1
n345117,Q9HCE1,1
n3893,Q13148,1
n338712,P26599,1
n339736,P31483,1
n385688,Q13148,1
n410457,Q13148,1
n344800,Q9UL18,1
n344800,Q9UKV8,1
n344800,Q9H9G7,1
n344800,Q9HCK5,1
n407447,Q9Y6M1,1
n343067,Q9UKL0,1
n410068,Q07955,1
n384754,Q49AS9,1
n346026,P35637,1
n341308,Q07955,1
n384750,Q15717,1
n345437,Q01844,1
n338145,Q15717,1
n343018,Q9NZI8,1
n339038,Q15717,1
n378002,Q15717,1
n383496,P26599,1
n345323,P35637,1
n345222,Q49AS9,1
n346465,P26599,1
n367676,Q49AS9,1
n345457,Q13148,1
n376314,Q9HCE1,1
n341607,P31483,1
n345437,Q9HCE1,1
n326762,Q07955,1
n338554,P35637,1
n342041,O00425,1
n338750,Q96PU8,1
n369243,P31483,1
n341180,Q9Y6M1,1
n408241,Q15717,1
n382328,Q13148,1
n386687,Q9Y6M1,1
n344574,P35637,1
n343060,Q49AS9,1
n386067,Q9NZI8,1
n381409,B7ZL34,1
n344678,Q07955,1
n342568,Q15717,1
n407108,Q9Y6M1,1
n381443,Q13148,1
n380151,Q49AS9,1
n203786,Q9HCE1,1
n333358,Q13148,1
n336934,B7ZL34,1
n345686,P31483,1
n341490,P26599,1
n342118,P31483,1
n344651,Q9Y6M1,1
n364168,Q9NZI8,1
n345077,Q9Y6M1,1
n386451,Q07955,1
n385638,Q9HCE1,1
n343050,B7ZL34,1
n339667,Q01844,1
n386362,Q9UL18,1
n386362,Q9UKV8,1
n386362,Q9H9G7,1
n386362,Q9HCK5,1
n380707,Q49AS9,1
n345653,Q15717,1
n379342,Q15717,1
n408353,Q07955,1
n338461,Q07955,1
n339727,Q07955,1
n340038,P35637,1
n408241,Q9UKV8,1
n410453,Q13148,1
n409179,B7ZL34,1
n342679,Q07955,1
n325598,Q9NZI8,1
n408277,Q9NZI8,1
n378631,Q07955,1
n340549,Q9HCE1,1
n127,Q9HCE1,1
n341903,Q01844,1
n406300,Q9UL18,1
n406300,Q9UKV8,1
n406300,Q9H9G7,1
n406300,Q9HCK5,1
n406145,Q07955,1
n338897,Q9HCE1,1
n372317,P35637,1
n341486,Q9NZI8,1
n345813,Q07955,1
n407311,O00425,1
n379107,Q8NDV7,1
n379107,Q9UPQ9,1
n379107,Q9HCJ0,1
n5622,P08579,1
n342414,Q15717,1
n344457,P31483,1
n407550,Q9UKV8,1
n342358,Q15717,1
n384625,P35637,1
n338128,O00425,1
n380651,Q15717,1
n381981,Q15717,1
n405990,Q15717,1
n405566,B7ZL34,1
n405979,Q15717,1
n340594,Q9NZI8,1
n384686,Q07955,1
n369925,Q13148,1
n340579,Q96PU8,1
n386025,Q01844,1
n410462,P31483,1
n341991,Q13148,1
n339911,Q13148,1
n334613,P26599,1
n338788,P31483,1
n346392,Q15717,1
n377670,Q9Y6M1,1
n410565,Q49AS9,1
n407465,Q07955,1
n384625,Q9HCE1,1
n4541,P31483,1
n340007,P26599,1
n345304,Q15717,1
n384605,Q49AS9,1
n337997,Q07955,1
n371453,P35637,1
n344872,Q13148,1
n345589,Q15717,1
n378567,Q86X94,1
n344719,Q13148,1
n341096,O00425,1
n407311,Q9Y6M1,1
n339833,P35637,1
n376049,Q13148,1
n383233,O00425,1
n342842,Q9Y6M1,1
n368764,P35637,1
n339119,B7ZL34,1
n336934,Q01844,1
n338835,Q96PU8,1
n367775,Q15717,1
n342852,O00425,1
n385725,P31483,1
n367417,Q15717,1
n342433,Q49AS9,1
n343087,Q9Y6M1,1
n342666,P26599,1
n380415,P26599,1
n343050,P35637,1
n378390,O00425,1
n342232,Q9HCE1,1
n378190,Q49AS9,1
n346398,O00425,1
n340076,Q13148,1
n345031,P26599,1
n335521,P35637,1
n406194,Q07955,1
n340521,Q15717,1
n338218,O00425,1
n372815,Q15717,1
n378520,Q49AS9,1
n384690,Q9NZI8,1
n405665,O00425,1
n385685,O00425,1
n345003,Q13148,1
n382184,P26599,1
n342030,Q9HCE1,1
n339282,Q9HCE1,1
n384270,P35637,1
n325854,P31483,1
n346349,O00425,1
n339635,Q15717,1
n341743,Q9Y6M1,1
n384209,Q9UKV8,1
n337768,P35637,1
n345437,Q15717,1
n346031,O00425,1
n341490,Q15717,1
n406422,Q9NZI8,1
n345777,Q9UKV8,1
n346082,Q15717,1
n342717,Q15717,1
n368786,Q8NDV7,1
n368786,Q9UPQ9,1
n368786,Q9HCJ0,1
n384227,P35637,1
n339461,Q15717,1
n339026,Q15717,1
n379841,Q9NZI8,1
n343050,Q8NDV7,1
n343050,Q9UPQ9,1
n343050,Q9HCJ0,1
n338774,Q13148,1
n377680,P26599,1
n365413,Q49AS9,1
n337731,Q15717,1
n386100,Q15717,1
n387292,P26599,1
n340474,Q9NZI8,1
n4428,P49458,1
n4429,P49458,1
n4430,P49458,1
n4431,P49458,1
n4432,P49458,1
n4433,P49458,1
n4434,P49458,1
n4435,P49458,1
n4436,P49458,1
n4437,P49458,1
n4438,P49458,1
n4439,P49458,1
n342029,O00425,1
n383862,O00425,1
n405510,Q07955,1
n342541,Q15717,1
n339421,Q15717,1
n342725,O00425,1
n344803,Q9Y6M1,1
n324603,P26599,1
n384996,P31483,1
n384770,O00425,1
n338060,Q15717,1
n338000,O00425,1
n381272,Q9Y6M1,1
n338500,Q15717,1
n407553,Q07955,1
n345831,Q07955,1
n368637,P31483,1
n340689,Q8NDV7,1
n340689,Q9UPQ9,1
n340689,Q9HCJ0,1
n345386,Q9NZI8,1
n384026,O00425,1
n381323,Q15717,1
n335713,O00425,1
n345653,Q49AS9,1
n345981,Q15717,1
n406144,Q15717,1
n346071,P35637,1
n386585,Q15717,1
n337823,O00425,1
n341617,Q86X94,1
n339993,O00425,1
n344687,Q15717,1
n339073,Q15717,1
n337757,Q15717,1
n377717,Q9NZI8,1
n344975,Q9Y6M1,1
n326309,Q13148,1
n340626,P31483,1
n344745,Q9NZI8,1
n341044,Q8NDV7,1
n341044,Q9UPQ9,1
n341044,Q9HCJ0,1
n368608,Q8NDV7,1
n368608,Q9UPQ9,1
n368608,Q9HCJ0,1
n385729,Q96PU8,1
n386649,Q07955,1
n337904,Q13148,1
n382996,Q07955,1
n387719,Q13148,1
n340754,O00425,1
n371667,Q9NZI8,1
n5543,O00425,1
n385064,Q8NDV7,1
n385064,Q9UPQ9,1
n385064,Q9HCJ0,1
n367417,P35637,1
n411597,P35637,1
n379581,Q9Y6M1,1
n336293,Q96PU8,1
n385527,P26599,1
n338367,P26599,1
n334616,O43251,1
n339307,Q9NZI8,1
n342724,Q9HCE1,1
n337986,Q15717,1
n377427,Q15717,1
n371667,Q07955,1
n340529,Q9HCE1,1
n338522,Q01844,1
n378866,P35637,1
n384624,Q9Y6M1,1
n407659,Q9Y6M1,1
n334773,Q15717,1
n338021,P35637,1
n363491,Q9NZI8,1
n385210,Q15717,1
n309,O00566,1
n386231,Q9UKV8,1
n341400,O00425,1
n346110,O00425,1
